category,period,ratio
메이크업베이스,2023-09-18,90.74653
메이크업베이스,2023-09-25,71.08968
메이크업베이스,2023-10-02,93.85265
메이크업베이스,2023-10-09,93.14346
메이크업베이스,2023-10-16,87.38876
메이크업베이스,2023-10-23,84.31674
메이크업베이스,2023-10-30,95.0111
메이크업베이스,2023-11-06,89.84197
메이크업베이스,2023-11-13,88.17726
메이크업베이스,2023-11-20,88.16159
메이크업베이스,2023-11-27,90.92068
메이크업베이스,2023-12-04,88.51363
메이크업베이스,2023-12-11,80.13094
메이크업베이스,2023-12-18,73.02511
메이크업베이스,2023-12-25,73.24083
메이크업베이스,2024-01-01,80.76404
메이크업베이스,2024-01-08,84.93236
메이크업베이스,2024-01-15,82.99864
메이크업베이스,2024-01-22,81.99123
메이크업베이스,2024-01-29,81.68459
메이크업베이스,2024-02-05,70.37206
메이크업베이스,2024-02-12,93.30088
메이크업베이스,2024-02-19,87.57379
메이크업베이스,2024-02-26,91.70289
메이크업베이스,2024-03-04,89.12914
메이크업베이스,2024-03-11,82.84026
메이크업베이스,2024-03-18,81.12013
메이크업베이스,2024-03-25,79.56936
메이크업베이스,2024-04-01,76.09126
메이크업베이스,2024-04-08,79.70376
메이크업베이스,2024-04-15,77.77867
메이크업베이스,2024-04-22,74.15093
메이크업베이스,2024-04-29,73.2371
메이크업베이스,2024-05-06,81.99304
메이크업베이스,2024-05-13,85.3524
메이크업베이스,2024-05-20,81.58195
메이크업베이스,2024-05-27,88.93175
메이크업베이스,2024-06-03,80.28218
메이크업베이스,2024-06-10,67.15253
메이크업베이스,2024-06-17,61.87576
메이크업베이스,2024-06-24,68.18734
메이크업베이스,2024-07-01,78.72811
메이크업베이스,2024-07-08,69.74962
메이크업베이스,2024-07-15,68.51721
메이크업베이스,2024-07-22,63.87151
메이크업베이스,2024-07-29,62.33001
메이크업베이스,2024-08-05,66.27867
메이크업베이스,2024-08-12,66.63923
메이크업베이스,2024-08-19,68.79113
메이크업베이스,2024-08-26,70.14025
메이크업베이스,2024-09-02,69.47102
메이크업베이스,2024-09-09,56.0213
메이크업베이스,2024-09-16,59.93607
메이크업베이스,2024-09-23,62.16886
메이크업베이스,2024-09-30,59.90644
메이크업베이스,2024-10-07,62.77403
메이크업베이스,2024-10-14,62.87315
메이크업베이스,2024-10-21,60.27489
메이크업베이스,2024-10-28,59.9252
메이크업베이스,2024-11-04,59.1852
메이크업베이스,2024-11-11,55.07592
메이크업베이스,2024-11-18,51.97907
메이크업베이스,2024-11-25,57.85196
메이크업베이스,2024-12-02,63.32773
메이크업베이스,2024-12-09,60.47324
메이크업베이스,2024-12-16,57.35635
메이크업베이스,2024-12-23,54.67304
메이크업베이스,2024-12-30,58.59025
메이크업베이스,2025-01-06,62.42519
메이크업베이스,2025-01-13,60.70516
메이크업베이스,2025-01-20,53.46983
메이크업베이스,2025-01-27,57.817
메이크업베이스,2025-02-03,63.50497
메이크업베이스,2025-02-10,62.1858
메이크업베이스,2025-02-17,60.2361
메이크업베이스,2025-02-24,59.59682
메이크업베이스,2025-03-03,60.2394
메이크업베이스,2025-03-10,55.22023
메이크업베이스,2025-03-17,57.35369
메이크업베이스,2025-03-24,53.44564
메이크업베이스,2025-03-31,58.4583
메이크업베이스,2025-04-07,61.40989
메이크업베이스,2025-04-14,62.64667
메이크업베이스,2025-04-21,58.03219
메이크업베이스,2025-04-28,53.42112
메이크업베이스,2025-05-05,57.7878
메이크업베이스,2025-05-12,53.26892
메이크업베이스,2025-05-19,51.81653
메이크업베이스,2025-05-26,50.18753
메이크업베이스,2025-06-02,52.90644
메이크업베이스,2025-06-09,48.19444
메이크업베이스,2025-06-16,44.9764
메이크업베이스,2025-06-23,41.90183
메이크업베이스,2025-06-30,44.76313
메이크업베이스,2025-07-07,43.86294
메이크업베이스,2025-07-14,39.99432
메이크업베이스,2025-07-21,36.4284
메이크업베이스,2025-07-28,32.75153
메이크업베이스,2025-08-04,29.90472
메이크업베이스,2025-08-11,28.24374
메이크업베이스,2025-08-18,29.83267
메이크업베이스,2025-08-25,30.91715
메이크업베이스,2025-09-01,30.9715
메이크업베이스,2025-09-08,26.47619
메이크업베이스,2025-09-15,25.50714
메이크업베이스,2025-09-22,24.27835
메이크업베이스,2025-09-29,21.72805
메이크업베이스,2025-10-06,25.42369
메이크업베이스,2025-10-13,27.0431
메이크업베이스,2025-10-20,26.22017
메이크업베이스,2025-10-27,25.52728
메이크업베이스,2025-11-03,25.83829
메이크업베이스,2025-11-10,24.70959
메이크업베이스,2025-11-17,23.88965
메이크업베이스,2025-11-24,23.81206
메이크업베이스,2025-12-01,24.99341
메이크업베이스,2025-12-08,23.8711
메이크업베이스,2025-12-15,21.95198
메이크업베이스,2025-12-22,21.13546
메이크업베이스,2025-12-29,22.3797
메이크업베이스,2026-01-05,24.66216
메이크업베이스,2026-01-12,24.53916
메이크업베이스,2026-01-19,22.18615
메이크업베이스,2026-01-26,21.64961
메이크업베이스,2026-02-02,21.14366
메이크업베이스,2026-02-09,18.75207
메이크업베이스,2026-02-16,20.47593
메이크업베이스,2026-02-23,20.78267
메이크업베이스,2026-03-02,21.68308
메이크업베이스,2026-03-09,21.26645
메이크업베이스,2026-03-16,21.32645
메이크업베이스,2026-03-23,20.60777
메이크업베이스,2026-03-30,21.15454
메이크업베이스,2026-04-06,21.74106
메이크업베이스,2026-04-13,20.54094
메이크업베이스,2026-04-20,23.91203
메이크업베이스,2026-04-27,21.39179
메이크업베이스,2026-05-04,21.83719
메이크업베이스,2026-05-11,20.78352
메이크업베이스,2026-05-18,20.35144
메이크업베이스,2026-05-25,20.31062
메이크업베이스,2026-06-01,20.47081
메이크업베이스,2026-06-08,19.16923
메이크업베이스,2026-06-15,18.01835
메이크업베이스,2026-06-22,17.34838
메이크업베이스,2026-06-29,19.78943
색조메이크업,2023-07-03,71.37163
색조메이크업,2023-07-10,69.02361
색조메이크업,2023-07-17,68.36557
색조메이크업,2023-07-24,68.44384
색조메이크업,2023-07-31,70.48595
색조메이크업,2023-08-07,77.57095
색조메이크업,2023-08-14,80.21812
색조메이크업,2023-08-21,79.91799
색조메이크업,2023-08-28,85.45081
색조메이크업,2023-09-04,83.00091
색조메이크업,2023-09-11,76.27544
색조메이크업,2023-09-18,74.28082
색조메이크업,2023-09-25,64.51878
색조메이크업,2023-10-02,84.86879
색조메이크업,2023-10-09,84.54231
색조메이크업,2023-10-16,85.59792
색조메이크업,2023-10-23,82.71255
색조메이크업,2023-10-30,91.55819
색조메이크업,2023-11-06,92.79219
색조메이크업,2023-11-13,94.41454
색조메이크업,2023-11-20,96.68485
색조메이크업,2023-11-27,100.0
색조메이크업,2023-12-04,97.82642
색조메이크업,2023-12-11,88.08136
색조메이크업,2023-12-18,83.92069
색조메이크업,2023-12-25,79.86599
색조메이크업,2024-01-01,87.6525
색조메이크업,2024-01-08,86.33142
색조메이크업,2024-01-15,83.67368
색조메이크업,2024-01-22,82.92616
색조메이크업,2024-01-29,83.17036
색조메이크업,2024-02-05,75.29994
색조메이크업,2024-02-12,88.56375
색조메이크업,2024-02-19,85.68662
색조메이크업,2024-02-26,85.65111
색조메이크업,2024-03-04,81.34412
색조메이크업,2024-03-11,79.18428
색조메이크업,2024-03-18,75.03024
색조메이크업,2024-03-25,70.60847
색조메이크업,2024-04-01,69.43633
색조메이크업,2024-04-08,68.30258
색조메이크업,2024-04-15,67.09852
색조메이크업,2024-04-22,66.03741
색조메이크업,2024-04-29,63.85172
색조메이크업,2024-05-06,67.37569
색조메이크업,2024-05-13,66.51368
색조메이크업,2024-05-20,61.38864
색조메이크업,2024-05-27,61.18905
색조메이크업,2024-06-03,59.53732
색조메이크업,2024-06-10,52.81347
색조메이크업,2024-06-17,47.50518
색조메이크업,2024-06-24,51.97598
색조메이크업,2024-07-01,62.40494
색조메이크업,2024-07-08,54.44371
색조메이크업,2024-07-15,55.08484
색조메이크업,2024-07-22,51.94872
색조메이크업,2024-07-29,49.95593
색조메이크업,2024-08-05,54.22143
색조메이크업,2024-08-12,56.97308
색조메이크업,2024-08-19,57.53558
색조메이크업,2024-08-26,59.85683
색조메이크업,2024-09-02,60.32042
색조메이크업,2024-09-09,50.93425
색조메이크업,2024-09-16,55.70096
색조메이크업,2024-09-23,56.59037
색조메이크업,2024-09-30,54.68445
색조메이크업,2024-10-07,54.89461
색조메이크업,2024-10-14,54.64774
색조메이크업,2024-10-21,55.06934
색조메이크업,2024-10-28,55.08843
색조메이크업,2024-11-04,57.06178
색조메이크업,2024-11-11,54.53262
색조메이크업,2024-11-18,53.29883
색조메이크업,2024-11-25,53.37267
색조메이크업,2024-12-02,58.43951
색조메이크업,2024-12-09,57.34508
색조메이크업,2024-12-16,54.32809
색조메이크업,2024-12-23,52.30944
색조메이크업,2024-12-30,52.27006
색조메이크업,2025-01-06,60.50832
색조메이크업,2025-01-13,59.17512
색조메이크업,2025-01-20,53.81681
색조메이크업,2025-01-27,60.45576
색조메이크업,2025-02-03,63.65071
색조메이크업,2025-02-10,62.62321
색조메이크업,2025-02-17,61.45325
색조메이크업,2025-02-24,58.68053
색조메이크업,2025-03-03,53.90819
색조메이크업,2025-03-10,49.38426
색조메이크업,2025-03-17,49.00494
색조메이크업,2025-03-24,41.89951
색조메이크업,2025-03-31,46.6288
색조메이크업,2025-04-07,47.96969
색조메이크업,2025-04-14,47.84646
색조메이크업,2025-04-21,42.65675
색조메이크업,2025-04-28,40.92111
색조메이크업,2025-05-05,46.72138
색조메이크업,2025-05-12,44.09457
색조메이크업,2025-05-19,38.39872
색조메이크업,2025-05-26,38.65284
색조메이크업,2025-06-02,38.84631
색조메이크업,2025-06-09,36.1029
색조메이크업,2025-06-16,34.50726
색조메이크업,2025-06-23,33.85929
색조메이크업,2025-06-30,34.24559
색조메이크업,2025-07-07,35.84257
색조메이크업,2025-07-14,35.69779
색조메이크업,2025-07-21,35.56745
색조메이크업,2025-07-28,32.16466
색조메이크업,2025-08-04,28.80372
색조메이크업,2025-08-11,28.47315
색조메이크업,2025-08-18,28.82866
색조메이크업,2025-08-25,29.59231
색조메이크업,2025-09-01,30.4534
색조메이크업,2025-09-08,27.25324
색조메이크업,2025-09-15,26.16747
색조메이크업,2025-09-22,25.3254
색조메이크업,2025-09-29,23.78324
색조메이크업,2025-10-06,29.31839
색조메이크업,2025-10-13,29.0966
색조메이크업,2025-10-20,27.9823
색조메이크업,2025-10-27,28.64027
색조메이크업,2025-11-03,29.32691
색조메이크업,2025-11-10,28.54241
색조메이크업,2025-11-17,28.14512
색조메이크업,2025-11-24,27.16299
색조메이크업,2025-12-01,29.49452
색조메이크업,2025-12-08,27.69999
색조메이크업,2025-12-15,25.6404
색조메이크업,2025-12-22,25.19676
색조메이크업,2025-12-29,26.99052
색조메이크업,2026-01-05,27.5836
색조메이크업,2026-01-12,28.3991
색조메이크업,2026-01-19,27.52054
색조메이크업,2026-01-26,25.38318
색조메이크업,2026-02-02,23.56109
색조메이크업,2026-02-09,20.7566
색조메이크업,2026-02-16,22.0469
색조메이크업,2026-02-23,21.46826
색조메이크업,2026-03-02,21.61438
색조메이크업,2026-03-09,21.38111
색조메이크업,2026-03-16,20.02346
색조메이크업,2026-03-23,18.569
색조메이크업,2026-03-30,19.21697
색조메이크업,2026-04-06,19.99809
색조메이크업,2026-04-13,17.89504
색조메이크업,2026-04-20,20.56483
색조메이크업,2026-04-27,17.94718
